,kraken2_report
3085636,10786.0
186803,568946.0
2316020,10529.0
33038,3605193.0
33039,1083532.0
46228,55455.0
2719313,86790.0
208479,4166696.0
1531,216024.0
333367,210455.0
572511,196697.0
2479767,736125.0
2860051,11.0
1322,210313.0
40520,187650.0
418240,117689.0
53443,81913.0
1912897,67862.0
89014,65729.0
2877527,62156.0
33035,55186.0
1796616,45852.0
1532,21632.0
2779518,14856.0
1737424,406.0
39488,733420.0
189330,5788.0
88431,585291.0
39486,109130.0
1506553,3868.0
29347,619434.0
89153,35938.0
1871021,29659.0
66219,8215.0
207244,1250.0
649756,409942.0
105841,34778.0
1229621,13290.0
841,17390.0
166486,134531.0
301301,67217.0
1261635,28167.0
1261634,25106.0
2763062,23421.0
1653434,218960.0
2719231,7458.0
84030,70491.0
29370,34179.0
29375,30653.0
33042,2238.0
410072,70669.0
116085,44883.0
33043,14426.0
751585,5983.0
39491,64975.0
1843210,3922.0
3039116,11889.0
3081750,10185.0
3070997,9748.0
2696063,9980.0
1727145,9949.0
433286,8148.0
3028070,49640.0
2763672,46396.0
2763667,37049.0
830,1313.0
831,11717.0
45851,11146.0
43305,6355.0
185008,4965.0
2918914,35068.0
168384,31839.0
3070215,13910.0
3123317,13559.0
2763669,23059.0
2068655,16114.0
1164882,1020.0
2490855,9074.0
617123,5088.0
39485,14776.0
2763670,11840.0
185007,8940.0
3059030,7841.0
2785025,7435.0
2709410,6506.0
2934315,5240.0
1679721,3866.0
36835,2528.0
420336,825.0
2681861,327.0
2039240,13634.0
3070814,58543.0
28446,49877.0
2603322,6.0
1348611,6.0
1348613,2524.0
1185412,2079.0
2173034,1339.0
879970,4179.0
698776,1460.0
29360,1040.0
2497860,756.0
186802,90436.0
216572,176382.0
216851,605734.0
853,6730560.0
2929494,90879.0
2929490,83587.0
2929492,75841.0
3030639,75641.0
2929489,70179.0
2929495,58891.0
2929493,51352.0
2929488,45474.0
2929491,41296.0
411483,58181.0
1550024,3094111.0
292800,338242.0
292632,41656.0
512298,108143.0
214851,104134.0
169435,120670.0
1263,424.0
657323,59639.0
2831966,18.0
2878202,14.0
438033,18732.0
1161942,6488.0
1264,4398.0
2564099,4037.0
1160721,3959.0
2892396,7680.0
2714355,40289.0
2714353,21000.0
459786,1.0
2763056,30102.0
2109687,28674.0
2834348,599.0
3030016,16240.0
2766537,4767.0
2666138,3394.0
2994078,2713.0
2108523,27207.0
2093857,22251.0
2714358,21868.0
2780922,7489.0
35829,8.0
288965,2481.0
1515,1892.0
1677857,476.0
1508657,28.0
29362,1961.0
2488810,1240.0
1521,1198.0
253239,3022.0
3045146,2625.0
3070656,2130.0
1510,1875.0
2966552,1712.0
3079925,28.0
3029272,936.0
3029274,719.0
884684,1111.0
236753,199.0
31979,1984.0
1485,31357.0
411486,129932.0
1042156,13181.0
97138,12229.0
1155388,3617.0
3070681,1887.0
641107,1568.0
2507159,1115.0
755731,1079.0
3064705,999.0
2930219,891.0
2483110,844.0
3070996,661.0
1970093,617.0
2779445,403.0
2212991,327.0
2992805,148.0
1702238,136.0
2681265,14.0
2843318,9.0
2849865,1.0
1502,25418.0
1491,5592.0
1529,4051.0
238834,2875.0
1501,2702.0
84032,2441.0
36839,2395.0
1716543,2225.0
36745,2155.0
1534,1975.0
169679,1802.0
36845,1708.0
1520,1702.0
704125,1683.0
1493,1523.0
1548,1476.0
1216932,1452.0
182773,1349.0
360422,1305.0
2320868,1226.0
1542,1219.0
1509,1185.0
1519,1173.0
1561,1137.0
1492,1116.0
29341,1067.0
1513,947.0
217159,918.0
2068654,878.0
84022,855.0
1497,802.0
1494,774.0
394958,690.0
1488,660.0
46867,620.0
332101,459.0
1504,414.0
94869,337.0
1538,24.0
84023,22.0
223919,10.0
84025,3.0
154046,134579.0
1848399,14.0
2855394,1173.0
2599308,1097.0
1286698,823.0
3036945,2831.0
2576307,890.0
3029174,770.0
3023090,543.0
2999116,1180.0
1041504,164.0
1508644,11.0
49118,3.0
2726954,578.0
1498,436.0
3085642,4027.0
3079303,72803.0
3079302,26232.0
2109686,2381.0
2086584,27749.0
2610895,22600.0
1297617,20064.0
3111540,2917.0
3050072,1968.0
73918,305.0
2293838,312.0
2546351,48.0
73919,318.0
554949,138.0
178899,736.0
1686313,41.0
2811778,114.0
938288,68.0
186806,58.0
1730,3416.0
39496,21149.0
2041044,11983.0
2841528,9473.0
53442,8671.0
1736,6455.0
33951,625.0
52694,2340.0
217139,1637.0
2184575,1586.0
33952,1058.0
2815577,2050.0
3082771,2192.0
1738645,166.0
3030017,4672.0
2507162,120.0
1738647,2778.0
1796620,7394.0
2576755,35.0
2576756,3056.0
3110227,328.0
2937909,213.0
36853,145.0
49338,2078.0
36854,1428.0
233055,1058.0
142877,632.0
79206,212.0
339862,1190.0
885581,1101.0
1563,1025.0
79209,381.0
56112,650.0
2907827,1179.0
1131462,98.0
1147129,28.0
55583,1362.0
51197,1212.0
186807,2.0
2916693,16.0
1564,1266.0
1833852,858.0
59610,813.0
51515,2136.0
1761012,1371.0
1712410,739.0
471827,544.0
58138,385.0
1561005,344.0
3046369,313.0
3046383,4089.0
3046382,4036.0
2086585,2706.0
35701,786.0
356322,507.0
68298,3.0
863,405.0
86170,345.0
2293317,76.0
543349,7.0
2734,593.0
671077,197.0
1565,796.0
863643,568.0
102134,500.0
2731377,388.0
3082720,754.0
186804,657.0
1870884,4.0
1496,345877.0
2770772,31.0
2770786,4.0
261299,9599.0
1505652,1931.0
1460447,1489.0
36841,855.0
1541,709.0
2813371,46.0
89152,4898.0
1501226,82.0
2724150,772.0
2708053,523.0
1115758,591.0
1507512,289.0
1849822,20.0
1505,1676.0
1490,482.0
214904,35.0
3036126,1360.0
2925782,366.0
3003601,519.0
3030910,189.0
1926556,285.0
1776384,7289.0
3114296,6315.0
2060094,102.0
2507160,2964.0
2697030,2933.0
433296,2083.0
86331,615.0
86332,1433.0
114527,1332.0
114528,973.0
114627,48.0
208226,1439.0
2731219,670.0
461876,633.0
1734049,1429.0
143361,1737.0
1511,1228.0
1424294,2206.0
1731,1027.0
166485,409.0
1981510,14629.0
186814,517.0
28895,917.0
1550240,746.0
3061989,183.0
1517,833.0
29329,742.0
28896,25.0
1754,1141.0
2325,226.0
583357,175.0
46354,64.0
108150,27.0
399726,14.0
2983842,7.0
106578,8.0
2796927,856.0
911092,802.0
85874,585.0
2755338,329.0
42838,211.0
129958,155.0
252966,341.0
626937,5903.0
972,909.0
2330,2.0
656519,740.0
2331,128.0
2682810,384.0
2382161,155.0
1323375,871.0
28187,341.0
42422,178.0
31909,487.0
44260,127.0
1525,908.0
2138101,642.0
55779,629.0
676965,437.0
161154,511.0
2528593,925.0
2770089,3.0
2770092,126.0
2316383,1252.0
499229,770.0
291990,663.0
2751313,642.0
3065157,524.0
375929,196.0
2742683,76.0
909930,427.0
33024,1111.0
33025,2593597.0
626940,4751.0
2823317,2980.0
904,17.0
905,3275.0
187327,761.0
909929,3.0
1843491,26.0
970,554.0
712528,774.0
3095337,637.0
1884263,496.0
712538,390.0
713030,205.0
971,2588.0
69823,1174.0
135079,758.0
2754044,350.0
158846,88.0
158847,3617.0
437897,1381.0
3054208,687.0
865,641.0
1843490,30.0
2375,837.0
2377,1248.0
47679,1100.0
2378,860.0
307249,285.0
365348,11.0
365349,987.0
484770,481.0
673273,1234.0
1930071,717.0
31977,76.0
906,399.0
2144175,3532.0
907,1437.0
1232428,1338.0
1675036,1101.0
29465,1354.0
39777,1268.0
423477,835.0
29466,549.0
248315,476.0
2682456,203.0
39778,61.0
