"","sa1"
"3085636",10786
"186803",568946
"2316020",10529
"33038",3605193
"33039",1083532
"46228",55455
"2719313",86790
"208479",4166696
"1531",216024
"333367",210455
"572511",196697
"2479767",736125
"2860051",11
"1322",210313
"40520",187650
"418240",117689
"53443",81913
"1912897",67862
"89014",65729
"2877527",62156
"33035",55186
"1796616",45852
"1532",21632
"2779518",14856
"1737424",406
"39488",733420
"189330",5788
"88431",585291
"39486",109130
"1506553",3868
"29347",619434
"89153",35938
"1871021",29659
"66219",8215
"207244",1250
"649756",409942
"105841",34778
"1229621",13290
"841",17390
"166486",134531
"301301",67217
"1261635",28167
"1261634",25106
"2763062",23421
"1653434",218960
"2719231",7458
"84030",70491
"29370",34179
"29375",30653
"33042",2238
"410072",70669
"116085",44883
"33043",14426
"751585",5983
"39491",64975
"1843210",3922
"3039116",11889
"3081750",10185
"3070997",9748
"2696063",9980
"1727145",9949
"433286",8148
"3028070",49640
"2763672",46396
"2763667",37049
"830",1313
"831",11717
"45851",11146
"43305",6355
"185008",4965
"2918914",35068
"168384",31839
"3070215",13910
"3123317",13559
"2763669",23059
"2068655",16114
"1164882",1020
"2490855",9074
"617123",5088
"39485",14776
"2763670",11840
"185007",8940
"3059030",7841
"2785025",7435
"2709410",6506
"2934315",5240
"1679721",3866
"36835",2528
"420336",825
"2681861",327
"2039240",13634
"3070814",58543
"28446",49877
"2603322",6
"1348611",6
"1348613",2524
"1185412",2079
"2173034",1339
"879970",4179
"698776",1460
"29360",1040
"2497860",756
"186802",90436
"216572",176382
"216851",605734
"853",6730560
"2929494",90879
"2929490",83587
"2929492",75841
"3030639",75641
"2929489",70179
"2929495",58891
"2929493",51352
"2929488",45474
"2929491",41296
"411483",58181
"1550024",3094111
"292800",338242
"292632",41656
"512298",108143
"214851",104134
"169435",120670
"1263",424
"657323",59639
"2831966",18
"2878202",14
"438033",18732
"1161942",6488
"1264",4398
"2564099",4037
"1160721",3959
"2892396",7680
"2714355",40289
"2714353",21000
"459786",1
"2763056",30102
"2109687",28674
"2834348",599
"3030016",16240
"2766537",4767
"2666138",3394
"2994078",2713
"2108523",27207
"2093857",22251
"2714358",21868
"2780922",7489
"35829",8
"288965",2481
"1515",1892
"1677857",476
"1508657",28
"29362",1961
"2488810",1240
"1521",1198
"253239",3022
"3045146",2625
"3070656",2130
"1510",1875
"2966552",1712
"3079925",28
"3029272",936
"3029274",719
"884684",1111
"236753",199
"31979",1984
"1485",31357
"411486",129932
"1042156",13181
"97138",12229
"1155388",3617
"3070681",1887
"641107",1568
"2507159",1115
"755731",1079
"3064705",999
"2930219",891
"2483110",844
"3070996",661
"1970093",617
"2779445",403
"2212991",327
"2992805",148
"1702238",136
"2681265",14
"2843318",9
"2849865",1
"1502",25418
"1491",5592
"1529",4051
"238834",2875
"1501",2702
"84032",2441
"36839",2395
"1716543",2225
"36745",2155
"1534",1975
"169679",1802
"36845",1708
"1520",1702
"704125",1683
"1493",1523
"1548",1476
"1216932",1452
"182773",1349
"360422",1305
"2320868",1226
"1542",1219
"1509",1185
"1519",1173
"1561",1137
"1492",1116
"29341",1067
"1513",947
"217159",918
"2068654",878
"84022",855
"1497",802
"1494",774
"394958",690
"1488",660
"46867",620
"332101",459
"1504",414
"94869",337
"1538",24
"84023",22
"223919",10
"84025",3
"154046",134579
"1848399",14
"2855394",1173
"2599308",1097
"1286698",823
"3036945",2831
"2576307",890
"3029174",770
"3023090",543
"2999116",1180
"1041504",164
"1508644",11
"49118",3
"2726954",578
"1498",436
"3085642",4027
"3079303",72803
"3079302",26232
"2109686",2381
"2086584",27749
"2610895",22600
"1297617",20064
"3111540",2917
"3050072",1968
"73918",305
"2293838",312
"2546351",48
"73919",318
"554949",138
"178899",736
"1686313",41
"2811778",114
"938288",68
"186806",58
"1730",3416
"39496",21149
"2041044",11983
"2841528",9473
"53442",8671
"1736",6455
"33951",625
"52694",2340
"217139",1637
"2184575",1586
"33952",1058
"2815577",2050
"3082771",2192
"1738645",166
"3030017",4672
"2507162",120
"1738647",2778
"1796620",7394
"2576755",35
"2576756",3056
"3110227",328
"2937909",213
"36853",145
"49338",2078
"36854",1428
"233055",1058
"142877",632
"79206",212
"339862",1190
"885581",1101
"1563",1025
"79209",381
"56112",650
"2907827",1179
"1131462",98
"1147129",28
"55583",1362
"51197",1212
"186807",2
"2916693",16
"1564",1266
"1833852",858
"59610",813
"51515",2136
"1761012",1371
"1712410",739
"471827",544
"58138",385
"1561005",344
"3046369",313
"3046383",4089
"3046382",4036
"2086585",2706
"35701",786
"356322",507
"68298",3
"863",405
"86170",345
"2293317",76
"543349",7
"2734",593
"671077",197
"1565",796
"863643",568
"102134",500
"2731377",388
"3082720",754
"186804",657
"1870884",4
"1496",345877
"2770772",31
"2770786",4
"261299",9599
"1505652",1931
"1460447",1489
"36841",855
"1541",709
"2813371",46
"89152",4898
"1501226",82
"2724150",772
"2708053",523
"1115758",591
"1507512",289
"1849822",20
"1505",1676
"1490",482
"214904",35
"3036126",1360
"2925782",366
"3003601",519
"3030910",189
"1926556",285
"1776384",7289
"3114296",6315
"2060094",102
"2507160",2964
"2697030",2933
"433296",2083
"86331",615
"86332",1433
"114527",1332
"114528",973
"114627",48
"208226",1439
"2731219",670
"461876",633
"1734049",1429
"143361",1737
"1511",1228
"1424294",2206
"1731",1027
"166485",409
"1981510",14629
"186814",517
"28895",917
"1550240",746
"3061989",183
"1517",833
"29329",742
"28896",25
"1754",1141
"2325",226
"583357",175
"46354",64
"108150",27
"399726",14
"2983842",7
"106578",8
"2796927",856
"911092",802
"85874",585
"2755338",329
"42838",211
"129958",155
"252966",341
"626937",5903
"972",909
"2330",2
"656519",740
"2331",128
"2682810",384
"2382161",155
"1323375",871
"28187",341
"42422",178
"31909",487
"44260",127
"1525",908
"2138101",642
"55779",629
"676965",437
"161154",511
"2528593",925
"2770089",3
"2770092",126
"2316383",1252
"499229",770
"291990",663
"2751313",642
"3065157",524
"375929",196
"2742683",76
"909930",427
"33024",1111
"33025",2593597
"626940",4751
"2823317",2980
"904",17
"905",3275
"187327",761
"909929",3
"1843491",26
"970",554
"712528",774
"3095337",637
"1884263",496
"712538",390
"713030",205
"971",2588
"69823",1174
"135079",758
"2754044",350
"158846",88
"158847",3617
"437897",1381
"3054208",687
"865",641
"1843490",30
"2375",837
"2377",1248
"47679",1100
"2378",860
"307249",285
"365348",11
"365349",987
"484770",481
"673273",1234
"1930071",717
"31977",76
"906",399
"2144175",3532
"907",1437
"1232428",1338
"1675036",1101
"29465",1354
"39777",1268
"423477",835
"29466",549
"248315",476
"2682456",203
"39778",61
"2682455",42
"39948",1099
"487173",1750
"2582419",365
