Species,Relative_Abundance
Mediterraneibacter gnavus,0.0575
[Ruminococcus] torques,0.0173
[Ruminococcus] lactaris,9e-4
Enterocloster bolteae,0.0665
Enterocloster clostridioformis,0.0034000000000000002
Enterocloster asparagiformis,0.0034000000000000002
Blautia sp. SC05B48,0.011699999999999999
Blautia sp. KLE_1732_HM_1032,0
Blautia hansenii,0.0034000000000000002
Blautia obeum,0.003
Blautia wexlerae,0.0019
Blautia hydrogenotrophica,0.0013
Blautia argi,0.0011
Blautia luti,0.001
Blautia parvula,0.001
Blautia producta,9e-4
Blautia pseudococcoides,7.000000000000001e-4
Blautia coccoides,3e-4
Blautia liquoris,2e-4
Blautia massiliensis (ex Durand et al. 2017),0
Anaerobutyricum hallii,0.011699999999999999
Dorea longicatena,0.009300000000000001
Dorea formicigenerans,0.0017000000000000001
[Clostridium] scindens,0.009899999999999999
[Clostridium] hylemonae,6e-4
Lachnoclostridium phocaeense,5e-4
Lachnoclostridium phytofermentans,1e-4
Anaerostipes hadrus,0.006500000000000001
Anaerostipes caccae,6e-4
Anaerostipes rhamnosivorans,2e-4
Roseburia intestinalis,0.0021
Roseburia hominis,0.0011
Roseburia sp. 831b,4e-4
Roseburia sp. 499,4e-4
Roseburia rectibacter,4e-4
Sellimonas intestinalis,0.0034999999999999996
Lacrimispora saccharolytica,0.0011
Lacrimispora sphenoides,5e-4
Lacrimispora xylanolytica,5e-4
Coprococcus comes,0.0011
Coprococcus catus,7.000000000000001e-4
Coprococcus eutactus,2e-4
Coprococcus sp. ART55/1,1e-4
Agathobacter rectalis,0.001
Anaerocolumna sp. AGMB13025,2e-4
Anaerocolumna sp. AGMB13020,2e-4
Anaerocolumna sp. MB42-C2,2e-4
Anaerocolumna sedimenticola,2e-4
Anaerocolumna chitinilytica,2e-4
Anaerocolumna cellulosilytica,1e-4
Claveliimonas bilis,8e-4
Simiaoa sunii,7.000000000000001e-4
Wansuia hejianensis,6e-4
Butyrivibrio fibrisolvens,2e-4
Butyrivibrio crossotus,2e-4
Butyrivibrio proteoclasticus,1e-4
Butyrivibrio hungatei,1e-4
Chakrabartyella piscis,6e-4
Marvinbryantia formatexigens,5e-4
Kineothrix sp. MB12-C1,2e-4
Kineothrix sp. IPX-CK,2e-4
Qiania dongpingensis,4e-4
Novisyntrophococcus fermenticellae,3e-4
Lachnoanaerobaculum gingivalis,1e-4
Lachnoanaerobaculum umeaense,1e-4
Lachnospira eligens,2e-4
Wujia chipingensis,2e-4
Pseudobutyrivibrio xylanivorans,1e-4
Stomatobaculum sp. F0698,1e-4
Anaeromicropila herbilytica,1e-4
Chordicoccus furentiruminis,1e-4
Anaeropeptidivorans aminofermentans,1e-4
Herbinix luporum,1e-4
[Clostridium] colinum,0
Candidatus Epulonipiscium viviparus,0
Sporofaciens musculi,0
Anaerotignum sp. MB30-C6,9e-4
Anaerotignum propionicum,8e-4
Vallitalea pronyensis,0
Vallitalea guaymasensis,0
Petrocella atlantisensis,0
Defluviitalea saccharophila,1e-4
Cellulosilyticum lentocellum,0
Cellulosilyticum sp. WCF-2,0
Faecalibacterium prausnitzii,0.1074
Faecalibacterium sp. I4-1-79,0.0015
Faecalibacterium sp. I2-3-92,0.0013
Faecalibacterium sp. I3-3-33,0.0012
Faecalibacterium sp. CYL33,0.0012
Faecalibacterium sp. IP-3-29,0.0011
Faecalibacterium sp. I4-3-84,9e-4
Faecalibacterium sp. I3-3-89,8e-4
Faecalibacterium sp. IP-1-18,7.000000000000001e-4
Faecalibacterium sp. HTF-F,7.000000000000001e-4
Faecalibacterium duncaniae,9e-4
Ruthenibacterium lactatiformans,0.049400000000000006
Flavonifractor plautii,0.0054
uncultured Subdoligranulum sp.,0.0017000000000000001
Subdoligranulum variabile,0.0017000000000000001
Anaerotruncus colihominis,0.0019
Ruminococcus sp. SR1/5,0.001
Ruminococcus sp. FMBCY1,0
Ruminococcus sp. FMB-CY1,0
Ruminococcus gauvreauii,3e-4
Ruminococcus champanellensis,1e-4
Ruminococcus albus,1e-4
Ruminococcus bovis,1e-4
Ruminococcus bicirculans (ex Wegman et al. 2014),1e-4
Vescimonas coprocola,6e-4
Vescimonas fastidiosa,3e-4
Oscillibacter hominis,5e-4
Oscillibacter sp. PEA192,5e-4
Caproicibacterium argilliputei,3e-4
Caproicibacterium amylolyticum,1e-4
Caproicibacterium lactatifermentans,1e-4
Caproicibacterium sp. BJN0003,0
Lawsonibacter asaccharolyticus,4e-4
Dysosmobacter welbionis,4e-4
Pusillibacter faecalis,3e-4
Solibaculum mannosilyticum,1e-4
Acetivibrio clariflavus,0
Acetivibrio thermocellus,0
Acetivibrio saccincola,0
Ruminiclostridium papyrosolvens,0
Ruminiclostridium herbifermentans,0
Ruminiclostridium cellulolyticum,0
Ethanoligenens harbinense,0
Petroclostridium sp. X23,0
Paludicola sp. MB14-C6,0
Thermoclostridium stercorarium,0
Thermocaproicibacter melissae,0
Amygdalobacter indicium,0
Amygdalobacter nucleatus,0
Mageeibacillus indolicus,0
Fastidiosipila sanguinis,0
Clostridium sp. M62/1,0.0021
Clostridium sp. SY8519,2e-4
Clostridium sp. MD294,2e-4
Clostridium sp. C1,1e-4
Clostridium sp. OS1-26,0
Clostridium sp. DL-VIII,0
Clostridium sp. JN-9,0
Clostridium sp. BNL1100,0
Clostridium sp. JS66,0
Clostridium sp. BJN0001,0
Clostridium sp. JN-1,0
Clostridium sp. MB40-C1,0
